player,country,world_cup,ballon_dor_points,kopa_points,yashin_points,uefa_defender_points,total_points
Lionel Messi,Argentina,WC-2010,1009,0,0,0,1009
Cristiano Ronaldo,Portugal,WC-2010,956,0,0,0,956
Kaká,Brazil,WC-2010,532,0,0,0,532
Xavi,Spain,WC-2010,267,0,0,0,267
Fernando Torres,Spain,WC-2010,201,0,0,0,201
Andrés Iniesta,Spain,WC-2010,149,0,0,0,149
Didier Drogba,Ivory Coast,WC-2010,144,0,0,0,144
Iker Casillas,Spain,WC-2010,136,0,0,0,136
Zlatan Ibrahimović,Sweden,WC-2010,111,0,0,0,111
Samuel Eto'o,Cameroon,WC-2010,81,0,0,0,81
Steven Gerrard,England,WC-2010,77,0,0,0,77
Andrey Arshavin,Russia,WC-2010,69,0,0,0,69
David Villa,Spain,WC-2010,57,0,0,0,57
Wayne Rooney,England,WC-2010,50,0,0,0,50
Andrea Pirlo,Italy,WC-2010,41,0,0,0,41
Cesc Fàbregas,Spain,WC-2010,40,0,0,0,40
Ruud van Nistelrooy,Netherlands,WC-2010,39,0,0,0,39
Robinho,Brazil,WC-2010,24,0,0,0,24
Francesco Totti,Italy,WC-2010,20,0,0,0,20
Frédéric Kanouté,Mali,WC-2010,19,0,0,0,19
Franck Ribéry,France,WC-2010,18,0,0,0,18
Ronaldinho,Brazil,WC-2010,18,0,0,0,18
Marcos Senna,Spain,WC-2010,16,0,0,0,16
Juan Román Riquelme,Argentina,WC-2010,15,0,0,0,15
Dani Alves,Brazil,WC-2010,14,0,0,0,14
Edin Džeko,Bosnia and Herzegovina,WC-2010,12,0,0,0,12
Emmanuel Adebayor,Togo,WC-2010,12,0,0,0,12
Filippo Inzaghi,Italy,WC-2010,12,0,0,0,12
Gianluigi Buffon,Italy,WC-2010,12,0,0,0,12
Ryan Giggs,Wales,WC-2010,11,0,0,0,11
Sergio Agüero,Argentina,WC-2010,10,0,0,0,10
Thierry Henry,France,WC-2010,9,0,0,0,9
Frank Lampard,England,WC-2010,8,0,0,0,8
Luís Fabiano,Brazil,WC-2010,8,0,0,0,8
Paolo Maldini,Italy,WC-2010,8,0,0,0,8
Diego Forlán,Uruguay,WC-2010,7,0,0,0,7
Yoann Gourcuff,France,WC-2010,6,0,0,0,6
Fabio Cannavaro,Italy,WC-2010,5,0,0,0,5
Maicon,Brazil,WC-2010,4,0,0,0,4
Michael Ballack,Germany,WC-2010,4,0,0,0,4
Diego,Brazil,WC-2010,3,0,0,0,3
Edwin van der Sar,Netherlands,WC-2010,2,0,0,0,2
Younis Mahmoud,Iraq,WC-2010,2,0,0,0,2
Guillermo Ochoa,Mexico,WC-2010,1,0,0,0,1
Eric Abidal,France,WC-2010,0,0,0,0,0
Karim Benzema,France,WC-2010,0,0,0,0,0
Cristiano Ronaldo,Portugal,WC-2014,1410.28,0,0,0,1410.28
Lionel Messi,Argentina,WC-2014,1294.48,0,0,0,1294.48
Franck Ribéry,France,WC-2014,1127,0,0,0,1127
Zlatan Ibrahimović,Sweden,WC-2014,258.24,0,0,0,258.24
Neymar,Brazil,WC-2014,156.73,0,0,0,156.73
Andrés Iniesta,Spain,WC-2014,119.92,0,0,0,119.92
Robin van Persie,Netherlands,WC-2014,89.45,0,0,0,89.45
Arjen Robben,Netherlands,WC-2014,85,0,0,0,85
Andrea Pirlo,Italy,WC-2014,72.66,0,0,0,72.66
Gareth Bale,Wales,WC-2014,65,0,0,0,65
Radamel Falcao,Colombia,WC-2014,56.67,0,0,0,56.67
Xavi,Spain,WC-2014,53.31,0,0,0,53.31
Yaya Touré,Ivory Coast,WC-2014,48.76,0,0,0,48.76
Robert Lewandowski,Poland,WC-2014,43,0,0,0,43
Philipp Lahm,Germany,WC-2014,40,0,0,0,40
Mesut Özil,Germany,WC-2014,36.17,0,0,0,36.17
Thomas Müller,Germany,WC-2014,21.64,0,0,0,21.64
Bastian Schweinsteiger,Germany,WC-2014,21.5,0,0,0,21.5
Luis Suárez,Uruguay,WC-2014,20.48,0,0,0,20.48
Edinson Cavani,Uruguay,WC-2014,12,0,0,0,12
Thiago Silva,Brazil,WC-2014,12,0,0,0,12
Eden Hazard,Belgium,WC-2014,8,0,0,0,8
Iker Casillas,Spain,WC-2014,4.47,0,0,0,4.47
Manuel Neuer,Germany,WC-2014,4.21,0,0,0,4.21
Wayne Rooney,England,WC-2014,2.7,0,0,0,2.7
Didier Drogba,Ivory Coast,WC-2014,2.6,0,0,0,2.6
Xabi Alonso,Spain,WC-2014,1.57,0,0,0,1.57
Diego Forlán,Uruguay,WC-2014,1.43,0,0,0,1.43
Samuel Eto'o,Cameroon,WC-2014,1.34,0,0,0,1.34
Sergio Agüero,Argentina,WC-2014,0.78,0,0,0,0.78
Wesley Sneijder,Netherlands,WC-2014,0.72,0,0,0,0.72
David Villa,Spain,WC-2014,0.53,0,0,0,0.53
Karim Benzema,France,WC-2014,0.45,0,0,0,0.45
Eric Abidal,France,WC-2014,0.36,0,0,0,0.36
