tournament_id,match_id,stage_name,group_stage,city_name,match_date,match_time,SouthAfrica,home_team_id,home_team,home_goals,home_ELO,home_prior_world_cups_coached,home_players_with_multiple_prior_wcs,home_avg_age,home_avg_age_squared,home_distance_from_host_km,away_team_id,away_team,away_goals,away_ELO,away_prior_world_cups_coached,away_players_with_multiple_prior_wcs,away_avg_age,away_avg_age_squared,away_distance_from_host_km,home_ELO_diff,away_ELO_diff,home_class_EloHome,home_class_EloAway,home_class_opp_wc_coach,home_class_opp_players_multiple_WCs,home_class_AVGage,home_class_opp_AVGage,home_class_Distance_from_host_km,away_class_EloHome,away_class_EloAway,away_class_opp_wc_coach,away_class_opp_players_multiple_WCs,away_class_AVGage,away_class_opp_AVGage,away_class_Distance_from_host_km
WC-2010,M-2010-01,group stage,1,Johannesburg,2010-06-11,16:00,1,T-46,Mexico,1,1890,1,3,27.572602739726026,760.2484218427471,14740.229472660187,T-70,South Africa,1,1519,5,0,27.313996426444312,746.0544007838126,0,371,-371,1890,1519,5,0,27.572602739726026,27.313996426444312,14740.229472660187,1519,1890,1,3,27.313996426444312,27.572602739726026,0
WC-2010,M-2010-02,group stage,1,Cape Town,2010-06-11,20:30,1,T-30,France,0,1890,1,1,28.062537224538417,787.5059954786043,8702.227583061785,T-84,Uruguay,0,1814,1,0,27.084812388326384,733.5870621108384,7547.521226473568,76,-76,1890,1814,1,0,28.062537224538417,27.084812388326384,8702.227583061785,1814,1890,1,1,27.084812388326384,28.062537224538417,7547.521226473568
WC-2010,M-2010-03,group stage,1,Port Elizabeth,2010-06-12,13:30,1,T-33,Greece,0,1782,0,0,28.087671232876712,788.91727528617,7546.786003151055,T-71,South Korea,2,1749,0,5,27.583204288266824,760.8331588082613,12926.215228898554,33,-33,1782,1749,0,5,28.087671232876712,27.583204288266824,7546.786003151055,1749,1782,0,0,27.583204288266824,28.087671232876712,12926.215228898554
WC-2010,M-2010-04,group stage,1,Johannesburg,2010-06-12,16:00,1,T-03,Argentina,1,1897,0,1,27.619654556283503,762.8453178084321,8219.66444248685,T-50,Nigeria,0,1747,2,1,26.250268016676593,689.0765709473541,4644.837201922761,150,-150,1897,1747,2,1,27.619654556283503,26.250268016676593,8219.66444248685,1747,1897,0,1,26.250268016676593,27.619654556283503,4644.837201922761
WC-2010,M-2010-05,group stage,1,Rustenburg,2010-06-12,20:30,1,T-28,England,1,1985,0,2,28.933889219773675,837.1699453821353,9398.536286390106,T-83,United States,1,1802,0,2,27.273734365693866,743.8565862504306,14937.12069749442,183,-183,1985,1802,0,2,28.933889219773675,27.273734365693866,9398.536286390106,1802,1985,0,2,27.273734365693866,28.933889219773675,14937.12069749442
WC-2010,M-2010-06,group stage,1,Polokwane,2010-06-13,13:30,1,T-01,Algeria,0,1580,1,0,26.697438951756997,712.7532465827917,7644.402938539022,T-69,Slovenia,1,1673,0,0,27.193567599761764,739.4901188028127,8395.516895413599,-93,93,1580,1673,0,0,26.697438951756997,27.193567599761764,7644.402938539022,1673,1580,1,0,27.193567599761764,26.697438951756997,8395.516895413599
WC-2010,M-2010-07,group stage,1,Pretoria,2010-06-13,16:00,1,T-32,Ghana,1,1686,0,0,24.719475878499107,611.0524877076992,4959.864093630756,T-66,Serbia,0,1832,0,1,26.43442525312686,698.7788384631511,8109.344359890111,-146,146,1686,1832,0,1,24.719475878499107,26.43442525312686,4959.864093630756,1832,1686,0,0,26.43442525312686,24.719475878499107,8109.344359890111
WC-2010,M-2010-08,group stage,1,Durban,2010-06-13,20:30,1,T-04,Australia,0,1788,0,0,29.024538415723644,842.4238302458176,10434.698580891292,T-31,Germany,4,1961,0,1,25.35092316855271,642.6693054978626,9007.153086515646,-173,173,1788,1961,0,1,29.024538415723644,25.35092316855271,10434.698580891292,1961,1788,0,0,25.35092316855271,29.024538415723644,9007.153086515646
WC-2010,M-2010-09,group stage,1,Johannesburg,2010-06-14,13:30,1,T-22,Denmark,0,1811,1,1,28.298511018463373,800.8057258620929,9497.373739642213,T-48,Netherlands,2,2031,0,0,28.103871351995235,789.8275849694985,9208.627031058202,-220,220,1811,2031,0,0,28.298511018463373,28.103871351995235,9497.373739642213,2031,1811,1,1,28.103871351995235,28.298511018463373,9208.627031058202
WC-2010,M-2010-10,group stage,1,Bloemfontein,2010-06-14,16:00,1,T-11,Cameroon,0,1772,0,2,25.586301369863016,654.658817789454,3926.775867809615,T-44,Japan,1,1788,1,2,28.24824300178678,797.9632326879957,13919.676564186495,-16,16,1772,1788,1,2,25.586301369863016,28.24824300178678,3926.775867809615,1788,1772,0,2,28.24824300178678,25.586301369863016,13919.676564186495
WC-2010,M-2010-11,group stage,1,Cape Town,2010-06-14,20:30,1,T-41,Italy,1,1956,1,4,28.734723049434187,825.6843087276843,8044.884849358503,T-55,Paraguay,1,1760,0,4,28.7434187016081,826.1841186559543,8155.662525263846,196,-196,1956,1760,0,4,28.734723049434187,28.7434187016081,8044.884849358503,1760,1956,1,4,28.7434187016081,28.734723049434187,8155.662525263846
WC-2010,M-2010-12,group stage,1,Rustenburg,2010-06-15,13:30,1,T-49,New Zealand,1,1523,0,0,27.869803454437164,776.7259445889578,11526.415524699509,T-68,Slovakia,1,1664,0,0,26.532578916021443,703.9777439349056,8641.626134878119,-141,141,1523,1664,0,0,27.869803454437164,26.532578916021443,11526.415524699509,1664,1523,0,0,26.532578916021443,27.869803454437164,8641.626134878119
WC-2010,M-2010-13,group stage,1,Port Elizabeth,2010-06-15,16:00,1,T-42,Ivory Coast,0,1760,2,0,27.07063728409768,732.8194029671794,5242.26683326783,T-58,Portugal,0,1874,0,0,28.240619416319237,797.5325850173871,8350.199176398759,-114,114,1760,1874,0,0,27.07063728409768,28.240619416319237,5242.26683326783,1874,1760,2,0,28.240619416319237,27.07063728409768,8350.199176398759
WC-2010,M-2010-14,group stage,1,Johannesburg,2010-06-15,20:30,1,T-09,Brazil,2,2103,0,3,29.15747468731388,850.1583301413496,8313.019192442198,T-51,North Korea,1,1551,0,0,25.190589636688504,634.5658062440383,12996.276285443231,552,-552,2103,1551,0,0,29.15747468731388,25.190589636688504,8313.019192442198,1551,2103,0,3,25.190589636688504,29.15747468731388,12996.276285443231
WC-2010,M-2010-15,group stage,1,Nelspruit,2010-06-16,13:30,1,T-13,Chile,1,1881,1,0,26.359023228111973,694.7981055401465,8907.30109988899,T-35,Honduras,0,1745,0,0,28.338058368076236,803.0455520724956,12844.275946166212,136,-136,1881,1745,0,0,26.359023228111973,28.338058368076236,8907.30109988899,1745,1881,1,0,28.338058368076236,26.359023228111973,12844.275946166212
WC-2010,M-2010-16,group stage,1,Durban,2010-06-16,16:00,1,T-73,Spain,0,2094,0,3,26.353186420488385,694.4904345130134,8182.901825332398,T-75,Switzerland,1,1792,0,0,27.148779035139963,737.0562030988552,8575.053927526515,302,-302,2094,1792,0,0,26.353186420488385,27.148779035139963,8182.901825332398,1792,2094,0,3,27.148779035139963,26.353186420488385,8575.053927526515
WC-2010,M-2010-17,group stage,1,Pretoria,2010-06-16,20:30,1,T-70,South Africa,0,1519,5,0,27.313996426444312,746.0544007838126,0,T-84,Uruguay,3,1814,1,0,27.084812388326384,733.5870621108384,7547.521226473568,-295,295,1519,1814,1,0,27.313996426444312,27.084812388326384,0,1814,1519,5,0,27.084812388326384,27.313996426444312,7547.521226473568
WC-2010,M-2010-18,group stage,1,Johannesburg,2010-06-17,13:30,1,T-03,Argentina,4,1897,0,1,27.619654556283503,762.8453178084321,8219.66444248685,T-71,South Korea,1,1749,0,5,27.583204288266824,760.8331588082613,12926.215228898554,148,-148,1897,1749,0,5,27.619654556283503,27.583204288266824,8219.66444248685,1749,1897,0,1,27.583204288266824,27.619654556283503,12926.215228898554
WC-2010,M-2010-19,group stage,1,Bloemfontein,2010-06-17,16:00,1,T-33,Greece,2,1782,0,0,28.087671232876712,788.91727528617,7546.786003151055,T-50,Nigeria,1,1747,2,1,26.250268016676593,689.0765709473541,4644.837201922761,35,-35,1782,1747,2,1,28.087671232876712,26.250268016676593,7546.786003151055,1747,1782,0,0,26.250268016676593,28.087671232876712,4644.837201922761
WC-2010,M-2010-20,group stage,1,Polokwane,2010-06-17,20:30,1,T-30,France,0,1890,1,1,28.062537224538417,787.5059954786043,8702.227583061785,T-46,Mexico,2,1890,1,3,27.572602739726026,760.2484218427471,14740.229472660187,0,0,1890,1890,1,3,28.062537224538417,27.572602739726026,8702.227583061785,1890,1890,1,1,27.572602739726026,28.062537224538417,14740.229472660187
WC-2010,M-2010-21,group stage,1,Port Elizabeth,2010-06-18,13:30,1,T-31,Germany,0,1961,0,1,25.35092316855271,642.6693054978626,9007.153086515646,T-66,Serbia,1,1832,0,1,26.43442525312686,698.7788384631511,8109.344359890111,129,-129,1961,1832,0,1,25.35092316855271,26.43442525312686,9007.153086515646,1832,1961,0,1,26.43442525312686,25.35092316855271,8109.344359890111
WC-2010,M-2010-22,group stage,1,Johannesburg,2010-06-18,16:00,1,T-69,Slovenia,2,1673,0,0,27.193567599761764,739.4901188028127,8395.516895413599,T-83,United States,2,1802,0,2,27.273734365693866,743.8565862504306,14937.12069749442,-129,129,1673,1802,0,2,27.193567599761764,27.273734365693866,8395.516895413599,1802,1673,0,0,27.273734365693866,27.193567599761764,14937.12069749442
WC-2010,M-2010-23,group stage,1,Cape Town,2010-06-18,20:30,1,T-01,Algeria,0,1580,1,0,26.697438951756997,712.7532465827917,7644.402938539022,T-28,England,0,1985,0,2,28.933889219773675,837.1699453821353,9398.536286390106,-405,405,1580,1985,0,2,26.697438951756997,28.933889219773675,7644.402938539022,1985,1580,1,0,28.933889219773675,26.697438951756997,9398.536286390106
WC-2010,M-2010-24,group stage,1,Durban,2010-06-19,13:30,1,T-44,Japan,0,1788,1,2,28.24824300178678,797.9632326879957,13919.676564186495,T-48,Netherlands,1,2031,0,0,28.103871351995235,789.8275849694985,9208.627031058202,-243,243,1788,2031,0,0,28.24824300178678,28.103871351995235,13919.676564186495,2031,1788,1,2,28.103871351995235,28.24824300178678,9208.627031058202
WC-2010,M-2010-25,group stage,1,Rustenburg,2010-06-19,16:00,1,T-04,Australia,1,1788,0,0,29.024538415723644,842.4238302458176,10434.698580891292,T-32,Ghana,1,1686,0,0,24.719475878499107,611.0524877076992,4959.864093630756,102,-102,1788,1686,0,0,29.024538415723644,24.719475878499107,10434.698580891292,1686,1788,0,0,24.719475878499107,29.024538415723644,4959.864093630756
WC-2010,M-2010-26,group stage,1,Pretoria,2010-06-19,20:30,1,T-11,Cameroon,1,1772,0,2,25.586301369863016,654.658817789454,3926.775867809615,T-22,Denmark,2,1811,1,1,28.298511018463373,800.8057258620929,9497.373739642213,-39,39,1772,1811,1,1,25.586301369863016,28.298511018463373,3926.775867809615,1811,1772,0,2,28.298511018463373,25.586301369863016,9497.373739642213
WC-2010,M-2010-27,group stage,1,Bloemfontein,2010-06-20,13:30,1,T-55,Paraguay,2,1760,0,4,28.7434187016081,826.1841186559543,8155.662525263846,T-68,Slovakia,0,1664,0,0,26.532578916021443,703.9777439349056,8641.626134878119,96,-96,1760,1664,0,0,28.7434187016081,26.532578916021443,8155.662525263846,1664,1760,0,4,26.532578916021443,28.7434187016081,8641.626134878119
WC-2010,M-2010-28,group stage,1,Nelspruit,2010-06-20,16:00,1,T-41,Italy,1,1956,1,4,28.734723049434187,825.6843087276843,8044.884849358503,T-49,New Zealand,1,1523,0,0,27.869803454437164,776.7259445889578,11526.415524699509,433,-433,1956,1523,0,0,28.734723049434187,27.869803454437164,8044.884849358503,1523,1956,1,4,27.869803454437164,28.734723049434187,11526.415524699509
WC-2010,M-2010-29,group stage,1,Johannesburg,2010-06-20,20:30,1,T-09,Brazil,3,2103,0,3,29.15747468731388,850.1583301413496,8313.019192442198,T-42,Ivory Coast,1,1760,2,0,27.07063728409768,732.8194029671794,5242.26683326783,343,-343,2103,1760,2,0,29.15747468731388,27.07063728409768,8313.019192442198,1760,2103,0,3,27.07063728409768,29.15747468731388,5242.26683326783
WC-2010,M-2010-30,group stage,1,Cape Town,2010-06-21,13:30,1,T-51,North Korea,0,1551,0,0,25.190589636688504,634.5658062440383,12996.276285443231,T-58,Portugal,7,1874,0,0,28.240619416319237,797.5325850173871,8350.199176398759,-323,323,1551,1874,0,0,25.190589636688504,28.240619416319237,12996.276285443231,1874,1551,0,0,28.240619416319237,25.190589636688504,8350.199176398759
WC-2010,M-2010-31,group stage,1,Port Elizabeth,2010-06-21,16:00,1,T-13,Chile,1,1881,1,0,26.359023228111973,694.7981055401465,8907.30109988899,T-75,Switzerland,0,1792,0,0,27.148779035139963,737.0562030988552,8575.053927526515,89,-89,1881,1792,0,0,26.359023228111973,27.148779035139963,8907.30109988899,1792,1881,1,0,27.148779035139963,26.359023228111973,8575.053927526515
WC-2010,M-2010-32,group stage,1,Johannesburg,2010-06-21,20:30,1,T-35,Honduras,0,1745,0,0,28.338058368076236,803.0455520724956,12844.275946166212,T-73,Spain,2,2094,0,3,26.353186420488385,694.4904345130134,8182.901825332398,-349,349,1745,2094,0,3,28.338058368076236,26.353186420488385,12844.275946166212,2094,1745,0,0,26.353186420488385,28.338058368076236,8182.901825332398
WC-2010,M-2010-33,group stage,1,Bloemfontein,2010-06-22,16:00,1,T-30,France,1,1890,1,1,28.062537224538417,787.5059954786043,8702.227583061785,T-70,South Africa,2,1519,5,0,27.313996426444312,746.0544007838126,0,371,-371,1890,1519,5,0,28.062537224538417,27.313996426444312,8702.227583061785,1519,1890,1,1,27.313996426444312,28.062537224538417,0
WC-2010,M-2010-34,group stage,1,Rustenburg,2010-06-22,16:00,1,T-46,Mexico,0,1890,1,3,27.572602739726026,760.2484218427471,14740.229472660187,T-84,Uruguay,1,1814,1,0,27.084812388326384,733.5870621108384,7547.521226473568,76,-76,1890,1814,1,0,27.572602739726026,27.084812388326384,14740.229472660187,1814,1890,1,3,27.084812388326384,27.572602739726026,7547.521226473568
WC-2010,M-2010-35,group stage,1,Polokwane,2010-06-22,20:30,1,T-03,Argentina,2,1897,0,1,27.619654556283503,762.8453178084321,8219.66444248685,T-33,Greece,0,1782,0,0,28.087671232876712,788.91727528617,7546.786003151055,115,-115,1897,1782,0,0,27.619654556283503,28.087671232876712,8219.66444248685,1782,1897,0,1,28.087671232876712,27.619654556283503,7546.786003151055
WC-2010,M-2010-36,group stage,1,Durban,2010-06-22,20:30,1,T-50,Nigeria,2,1747,2,1,26.250268016676593,689.0765709473541,4644.837201922761,T-71,South Korea,2,1749,0,5,27.583204288266824,760.8331588082613,12926.215228898554,-2,2,1747,1749,0,5,26.250268016676593,27.583204288266824,4644.837201922761,1749,1747,2,1,27.583204288266824,26.250268016676593,12926.215228898554
WC-2010,M-2010-37,group stage,1,Port Elizabeth,2010-06-23,16:00,1,T-28,England,1,1985,0,2,28.933889219773675,837.1699453821353,9398.536286390106,T-69,Slovenia,0,1673,0,0,27.193567599761764,739.4901188028127,8395.516895413599,312,-312,1985,1673,0,0,28.933889219773675,27.193567599761764,9398.536286390106,1673,1985,0,2,27.193567599761764,28.933889219773675,8395.516895413599
WC-2010,M-2010-38,group stage,1,Pretoria,2010-06-23,16:00,1,T-01,Algeria,0,1580,1,0,26.697438951756997,712.7532465827917,7644.402938539022,T-83,United States,1,1802,0,2,27.273734365693866,743.8565862504306,14937.12069749442,-222,222,1580,1802,0,2,26.697438951756997,27.273734365693866,7644.402938539022,1802,1580,1,0,27.273734365693866,26.697438951756997,14937.12069749442
WC-2010,M-2010-39,group stage,1,Nelspruit,2010-06-23,20:30,1,T-04,Australia,2,1788,0,0,29.024538415723644,842.4238302458176,10434.698580891292,T-66,Serbia,1,1832,0,1,26.43442525312686,698.7788384631511,8109.344359890111,-44,44,1788,1832,0,1,29.024538415723644,26.43442525312686,10434.698580891292,1832,1788,0,0,26.43442525312686,29.024538415723644,8109.344359890111
WC-2010,M-2010-40,group stage,1,Johannesburg,2010-06-23,20:30,1,T-31,Germany,1,1961,0,1,25.35092316855271,642.6693054978626,9007.153086515646,T-32,Ghana,0,1686,0,0,24.719475878499107,611.0524877076992,4959.864093630756,275,-275,1961,1686,0,0,25.35092316855271,24.719475878499107,9007.153086515646,1686,1961,0,1,24.719475878499107,25.35092316855271,4959.864093630756
WC-2010,M-2010-41,group stage,1,Polokwane,2010-06-24,16:00,1,T-49,New Zealand,0,1523,0,0,27.869803454437164,776.7259445889578,11526.415524699509,T-55,Paraguay,0,1760,0,4,28.7434187016081,826.1841186559543,8155.662525263846,-237,237,1523,1760,0,4,27.869803454437164,28.7434187016081,11526.415524699509,1760,1523,0,0,28.7434187016081,27.869803454437164,8155.662525263846
