tournament_id,team_id,team_name,team_code,manager_id,manager_name_worldcup,nft_team_name,coach_name_nft,coach_url_nft,coach_team_matches_before_wc,coach_team_matches_source,coach_team_matches_cutoff_date
WC-2010,T-01,Algeria,DZA,M-366,Rabah Saâdane,Algeria,"Saâdane, Rabah",https://www.national-football-teams.com/coach/53653/Rabah_Saadane.html,28,National Football Teams coach match logs,2010-06-11
WC-2010,T-03,Argentina,ARG,M-241,Diego Maradona,Argentina,"Maradona, Diego",https://www.national-football-teams.com/coach/14124/Diego_Maradona.html,19,National Football Teams coach match logs,2010-06-11
WC-2010,T-04,Australia,AUS,M-448,Pim Verbeek,Australia,"Verbeek, Pim",https://www.national-football-teams.com/coach/55216/Pim_Verbeek.html,30,National Football Teams coach match logs,2010-06-11
WC-2010,T-09,Brazil,BRA,M-108,Dunga,Brazil,"Dunga,",https://www.national-football-teams.com/coach/13640/Dunga.html,54,National Football Teams coach match logs,2010-06-11
WC-2010,T-11,Cameroon,CMR,M-218,Paul Le Guen,Cameroon,"Le Guen, Paul",https://www.national-football-teams.com/coach/14258/Paul_Le_Guen.html,15,National Football Teams coach match logs,2010-06-11
WC-2010,T-13,Chile,CHL,M-043,Marcelo Bielsa,Chile,"Bielsa, Marcelo",https://www.national-football-teams.com/coach/54589/Marcelo_Bielsa.html,42,National Football Teams coach match logs,2010-06-11
WC-2010,T-22,Denmark,DNK,M-299,Morten Olsen,Denmark,"Olsen, Morten",https://www.national-football-teams.com/coach/19455/Morten_Olsen.html,117,National Football Teams coach match logs,2010-06-11
WC-2010,T-28,England,ENG,M-071,Fabio Capello,England,"Capello, Fabio",https://www.national-football-teams.com/coach/17367/Fabio_Capello.html,24,National Football Teams coach match logs,2010-06-11
WC-2010,T-30,France,FRA,M-105,Raymond Domenech,France,"Domenech, Raymond",https://www.national-football-teams.com/coach/18904/Raymond_Domenech.html,75,National Football Teams coach match logs,2010-06-11
WC-2010,T-31,Germany,DEU,M-234,Joachim Löw,Germany,"Löw, Joachim",https://www.national-football-teams.com/coach/53246/Joachim_Low.html,49,National Football Teams coach match logs,2010-06-11
WC-2010,T-32,Ghana,GHA,M-342,Milovan Rajevac,Ghana,"Rajevac, Milovan",https://www.national-football-teams.com/coach/54582/Milovan_Rajevac.html,26,National Football Teams coach match logs,2010-06-11
WC-2010,T-33,Greece,GRC,M-351,Otto Rehhagel,Greece,"Rehhagel, Otto",https://www.national-football-teams.com/coach/53482/Otto_Rehhagel.html,102,National Football Teams coach match logs,2010-06-11
WC-2010,T-35,Honduras,HND,M-363,Reinaldo Rueda,Honduras,"Rueda, Reinaldo",https://www.national-football-teams.com/coach/53245/Reinaldo_Rueda.html,58,National Football Teams coach match logs,2010-06-11
WC-2010,T-41,Italy,ITA,M-225,Marcello Lippi,Italy,"Lippi, Marcello",https://www.national-football-teams.com/coach/55319/Marcello_Lippi.html,24,National Football Teams coach match logs,2010-06-11
WC-2010,T-42,Ivory Coast,CIV,M-118,Sven-Göran Eriksson,Ivory Coast,"Eriksson, Sven-Göran",https://www.national-football-teams.com/coach/53510/Sven_Goran_Eriksson.html,2,National Football Teams coach match logs,2010-06-11
WC-2010,T-44,Japan,JPN,M-293,Takeshi Okada,Japan,"Okada, Takeshi",https://www.national-football-teams.com/coach/20862/Takeshi_Okada.html,46,National Football Teams coach match logs,2010-06-11
WC-2010,T-46,Mexico,MEX,M-006,Javier Aguirre,Mexico,"Aguirre, Javier",https://www.national-football-teams.com/coach/17322/Javier_Aguirre.html,28,National Football Teams coach match logs,2010-06-11
WC-2010,T-48,Netherlands,NLD,M-446,Bert van Marwijk,Netherlands,"van Marwijk, Bert",https://www.national-football-teams.com/coach/20441/Bert_Van_Marwijk.html,21,National Football Teams coach match logs,2010-06-11
WC-2010,T-49,New Zealand,NZL,M-162,Ricki Herbert,New Zealand,"Herbert, Ricki",https://www.national-football-teams.com/coach/37223/Ricki_Herbert.html,32,National Football Teams coach match logs,2010-06-11
WC-2010,T-50,Nigeria,NGA,M-212,Lars Lagerbäck,Nigeria,"Lagerbäck, Lars",https://www.national-football-teams.com/coach/53279/Lars_Lagerback.html,4,National Football Teams coach match logs,2010-06-11
WC-2010,T-51,North Korea,PRK,M-199,Jong-hun Kim,North Korea,"Kim, Jong-Hun",https://www.national-football-teams.com/coach/53622/Jong_Hun_Kim.html,41,National Football Teams coach match logs,2010-06-11
WC-2010,T-55,Paraguay,PRY,M-244,Gerardo Martino,Paraguay,"Martino, Gerardo",https://www.national-football-teams.com/coach/21876/Gerardo_Martino.html,47,National Football Teams coach match logs,2010-06-11
WC-2010,T-58,Portugal,PRT,M-339,Carlos Queiroz,Portugal,"Queiroz, Carlos",https://www.national-football-teams.com/coach/53096/Carlos_Queiroz.html,22,National Football Teams coach match logs,2010-06-11
WC-2010,T-66,Serbia,SRB,M-016,Radomir Antić,Serbia,"Antić, Radomir",https://www.national-football-teams.com/coach/25958/Radomir_Antic.html,21,National Football Teams coach match logs,2010-06-11
WC-2010,T-68,Slovakia,SVK,M-465,Vladimír Weiss,Slovakia,"Weiss, Vladimír",https://www.national-football-teams.com/coach/18067/Vladimir_Weiss.html,21,National Football Teams coach match logs,2010-06-11
WC-2010,T-69,Slovenia,SVN,M-194,Matjaž Kek,Slovenia,"Kek, Matjaž",https://www.national-football-teams.com/coach/26317/Matjaz_Kek.html,32,National Football Teams coach match logs,2010-06-11
WC-2010,T-70,South Africa,ZAF,M-311,Carlos Alberto Parreira,South Africa,"Parreira, Carlos Alberto",https://www.national-football-teams.com/coach/53498/Carlos_Alberto_Parreira.html,34,National Football Teams coach match logs,2010-06-11
WC-2010,T-71,South Korea,KOR,M-177,Jung-moo Huh,South Korea,"Huh, Jung-Moo",https://www.national-football-teams.com/coach/20884/Jung_Moo_Huh.html,41,National Football Teams coach match logs,2010-06-11
WC-2010,T-73,Spain,ESP,M-094,Vicente del Bosque,Spain,"del Bosque, Vicente",https://www.national-football-teams.com/coach/18325/Vicente_Del_Bosque.html,26,National Football Teams coach match logs,2010-06-11
WC-2010,T-75,Switzerland,CHE,M-170,Ottmar Hitzfeld,Switzerland,"Hitzfeld, Ottmar",https://www.national-football-teams.com/coach/53244/Ottmar_Hitzfeld.html,18,National Football Teams coach match logs,2010-06-11
WC-2010,T-83,United States,USA,M-058,Bob Bradley,USA,"Bradley, Bob",https://www.national-football-teams.com/coach/53177/Bob_Bradley.html,62,National Football Teams coach match logs,2010-06-11
WC-2010,T-84,Uruguay,URY,M-419,Óscar Tabárez,Uruguay,"Tabárez, Óscar",https://www.national-football-teams.com/coach/52913/Oscar_Tabarez.html,49,National Football Teams coach match logs,2010-06-11
WC-2014,T-01,Algeria,DZA,M-152,Vahid Halilhodžić,Algeria,"Halilhodžić, Vahid",https://www.national-football-teams.com/coach/20020/Vahid_Halilhodzic.html,28,National Football Teams coach match logs,2014-06-12
WC-2014,T-03,Argentina,ARG,M-367,Alejandro Sabella,Argentina,"Sabella, Alejandro",https://www.national-football-teams.com/coach/37852/Alejandro_Sabella.html,33,National Football Teams coach match logs,2014-06-12
WC-2014,T-04,Australia,AUS,M-331,Ange Postecoglou,Australia,"Postecoglou, Ange",https://www.national-football-teams.com/coach/21252/Ange_Postecoglou.html,4,National Football Teams coach match logs,2014-06-12
WC-2014,T-06,Belgium,BEL,M-468,Marc Wilmots,Belgium,"Wilmots, Marc",https://www.national-football-teams.com/coach/12770/Marc_Wilmots.html,23,National Football Teams coach match logs,2014-06-12
WC-2014,T-08,Bosnia and Herzegovina,BIH,M-416,Safet Sušić,Bosnia & Herzegovina,"Sušić, Safet",https://www.national-football-teams.com/coach/19925/Safet_Susic.html,40,National Football Teams coach match logs,2014-06-12
WC-2014,T-09,Brazil,BRA,M-389,Luiz Felipe Scolari,Brazil,"Scolari, Luiz Felipe",https://www.national-football-teams.com/coach/53259/Luiz_Felipe_Scolari.html,22,National Football Teams coach match logs,2014-06-12
WC-2014,T-11,Cameroon,CMR,M-125,Volker Finke,Cameroon,"Finke, Volker",https://www.national-football-teams.com/coach/53337/Volker_Finke.html,12,National Football Teams coach match logs,2014-06-12
WC-2014,T-13,Chile,CHL,M-370,Jorge Sampaoli,Chile,"Sampaoli, Jorge",https://www.national-football-teams.com/coach/53261/Jorge_Sampaoli.html,19,National Football Teams coach match logs,2014-06-12
WC-2014,T-16,Colombia,COL,M-315,José Pékerman,Colombia,"Pekerman, José",https://www.national-football-teams.com/coach/52852/Jose_Pekerman.html,23,National Football Teams coach match logs,2014-06-12
WC-2014,T-17,Costa Rica,CRI,M-326,Jorge Luis Pinto,Costa Rica,"Pinto, Jorge Luis",https://www.national-football-teams.com/coach/52823/Jorge_Luis_Pinto.html,45,National Football Teams coach match logs,2014-06-12
WC-2014,T-18,Croatia,HRV,M-206,Niko Kovač,Croatia,"Kovač, Niko",https://www.national-football-teams.com/coach/1730/Niko_Kovac.html,5,National Football Teams coach match logs,2014-06-12
