"team_name","tournament_id","attack","defence"
"Algeria","WC-2010",66,80
"Argentina","WC-2010",79,76
"Australia","WC-2010",68,87
"Brazil","WC-2010",98,85
"Cameroon","WC-2010",63,70
"Chile","WC-2010",97,80
"Denmark","WC-2010",70,78
"England","WC-2010",85,71
"France","WC-2010",79,75
"Germany","WC-2010",81,79
"Ghana","WC-2010",58,57
"Greece","WC-2010",67,72
"Honduras","WC-2010",77,71
"Italy","WC-2010",77,77
"Ivory Coast","WC-2010",77,63
"Japan","WC-2010",68,74
"Mexico","WC-2010",89,74
"Netherlands","WC-2010",82,93
"New Zealand","WC-2010",35,68
"Nigeria","WC-2010",59,73
"North Korea","WC-2010",43,78
"Paraguay","WC-2010",67,79
"Portugal","WC-2010",70,85
"Serbia","WC-2010",87,77
"Slovakia","WC-2010",76,66
"Slovenia","WC-2010",73,84
"South Africa","WC-2010",46,71
"South Korea","WC-2010",65,82
"Spain","WC-2010",84,69
"Switzerland","WC-2010",69,76
"United States","WC-2010",91,65
"Uruguay","WC-2010",69,76
"Algeria","WC-2014",67,64
"Argentina","WC-2014",97,79
"Australia","WC-2014",73,67
"Belgium","WC-2014",86,79
"Bosnia and Herzegovina","WC-2014",71,67
"Brazil","WC-2014",117,102
"Cameroon","WC-2014",43,65
"Chile","WC-2014",104,75
"Colombia","WC-2014",83,94
"Costa Rica","WC-2014",70,76
"Croatia","WC-2014",64,70
"Ecuador","WC-2014",81,80
"England","WC-2014",75,77
"France","WC-2014",75,84
"Germany","WC-2014",98,72
"Ghana","WC-2014",80,53
"Greece","WC-2014",71,75
"Honduras","WC-2014",76,66
"Iran","WC-2014",61,76
"Italy","WC-2014",92,73
"Ivory Coast","WC-2014",74,51
"Japan","WC-2014",86,52
"Mexico","WC-2014",76,56
"Netherlands","WC-2014",88,79
"Nigeria","WC-2014",65,56
"Portugal","WC-2014",85,74
"Russia","WC-2014",67,67
"South Korea","WC-2014",59,65
"Spain","WC-2014",76,84
"Switzerland","WC-2014",75,79
"United States","WC-2014",86,77
"Uruguay","WC-2014",92,79
"Argentina","WC-2018",72,94
"Australia","WC-2018",75,60
"Belgium","WC-2018",86,65
"Brazil","WC-2018",100,107
"Colombia","WC-2018",82,88
"Costa Rica","WC-2018",67,68
"Croatia","WC-2018",66,82
"Denmark","WC-2018",78,79
"Egypt","WC-2018",58,64
"England","WC-2018",73,85
"France","WC-2018",83,80
"Germany","WC-2018",97,78
"Iceland","WC-2018",77,86
"Iran","WC-2018",64,86
"Japan","WC-2018",71,66
"Mexico","WC-2018",85,63
"Morocco","WC-2018",66,83
"Nigeria","WC-2018",76,67
"Panama","WC-2018",59,63
"Peru","WC-2018",81,82
"Poland","WC-2018",78,59
"Portugal","WC-2018",83,87
"Russia","WC-2018",79,71
"Saudi Arabia","WC-2018",67,64
"Senegal","WC-2018",69,72
"Serbia","WC-2018",79,69
"South Korea","WC-2018",59,71
"Spain","WC-2018",92,85
"Sweden","WC-2018",79,87
"Switzerland","WC-2018",63,75
"Tunisia","WC-2018",62,60
"Uruguay","WC-2018",83,80
"Argentina","WC-2022",92,114
"Australia","WC-2022",61,67
"Belgium","WC-2022",93,77
"Brazil","WC-2022",89,112
"Cameroon","WC-2022",61,69
"Canada","WC-2022",81,76
"Costa Rica","WC-2022",47,65
"Croatia","WC-2022",72,78
"Denmark","WC-2022",74,76
"Ecuador","WC-2022",74,91
"England","WC-2022",84,79
"France","WC-2022",93,84
"Germany","WC-2022",83,71
"Ghana","WC-2022",49,61
"Iran","WC-2022",73,73
"Japan","WC-2022",57,71
"Mexico","WC-2022",74,68
"Morocco","WC-2022",74,71
"Netherlands","WC-2022",82,69
"Poland","WC-2022",81,59
"Portugal","WC-2022",76,73
"Qatar","WC-2022",59,61
"Saudi Arabia","WC-2022",58,76
"Senegal","WC-2022",62,50
"Serbia","WC-2022",87,63
"South Korea","WC-2022",66,75
"Spain","WC-2022",89,89
"Switzerland","WC-2022",77,91
"Tunisia","WC-2022",52,62
"United States","WC-2022",76,79
"Uruguay","WC-2022",59,86
"Wales","WC-2022",79,71
"Algeria","WC-2026",64,59
"Argentina","WC-2026",94,96
"Australia","WC-2026",66,71
"Austria","WC-2026",63,59
"Belgium","WC-2026",73,61
"Bosnia and Herzegovina","WC-2026",76,58
"Brazil","WC-2026",86,91
"Canada","WC-2026",65,92
"Cape Verde","WC-2026",60,60
"Colombia","WC-2026",93,83
"Croatia","WC-2026",70,68
"Curaçao","WC-2026",53,62
"Czechia","WC-2026",63,69
"DR Congo","WC-2026",66,65
"Ecuador","WC-2026",62,115
"Egypt","WC-2026",47,63
"England","WC-2026",87,89
"France","WC-2026",93,79
"Germany","WC-2026",81,78
"Ghana","WC-2026",57,63
"Haiti","WC-2026",57,61
"Iran","WC-2026",58,63
"Iraq","WC-2026",50,62
"Ivory Coast","WC-2026",49,67
"Japan","WC-2026",69,76
"Jordan","WC-2026",67,67
"Mexico","WC-2026",70,83
"Morocco","WC-2026",66,70
"Netherlands","WC-2026",80,66
"New Zealand","WC-2026",65,60
"Norway","WC-2026",94,73
"Panama","WC-2026",61,58
"Paraguay","WC-2026",84,96
"Portugal","WC-2026",81,60
"Qatar","WC-2026",53,53
"Saudi Arabia","WC-2026",47,64
"Scotland","WC-2026",88,70
"Senegal","WC-2026",68,65
"South Africa","WC-2026",53,60
"South Korea","WC-2026",73,69
"Spain","WC-2026",106,88
"Sweden","WC-2026",63,49
"Switzerland","WC-2026",88,86
"Tunisia","WC-2026",65,58
"Türkiye","WC-2026",92,59
"United States","WC-2026",91,69
"Uruguay","WC-2026",59,92
"Uzbekistan","WC-2026",65,76
