tournament_id,team_id,team_name,team_code,manager_id,coach_name_nft,coach_url_nft,pre_wc_team_matches_coached,coach_team_matches_source,coach_team_matches_cutoff_date,prior_wc_matches_coached,prior_wc_group_matches_coached,prior_wc_round_of_16_matches_coached,prior_wc_quarterfinal_matches_coached,prior_wc_semifinal_matches_coached,prior_wc_third_place_matches_coached,prior_wc_final_matches_coached,prior_world_cups_coached
WC-2010,T-01,Algeria,DZA,M-366,"Saâdane, Rabah",https://www.national-football-teams.com/coach/53653/Rabah_Saadane.html,28,National Football Teams coach match logs,2010-06-11,3,3,0,0,0,0,0,1
WC-2010,T-03,Argentina,ARG,M-241,"Maradona, Diego",https://www.national-football-teams.com/coach/14124/Diego_Maradona.html,19,National Football Teams coach match logs,2010-06-11,0,0,0,0,0,0,0,0
WC-2010,T-04,Australia,AUS,M-448,"Verbeek, Pim",https://www.national-football-teams.com/coach/55216/Pim_Verbeek.html,30,National Football Teams coach match logs,2010-06-11,0,0,0,0,0,0,0,0
WC-2010,T-09,Brazil,BRA,M-108,"Dunga,",https://www.national-football-teams.com/coach/13640/Dunga.html,54,National Football Teams coach match logs,2010-06-11,0,0,0,0,0,0,0,0
WC-2010,T-11,Cameroon,CMR,M-218,"Le Guen, Paul",https://www.national-football-teams.com/coach/14258/Paul_Le_Guen.html,15,National Football Teams coach match logs,2010-06-11,0,0,0,0,0,0,0,0
WC-2010,T-13,Chile,CHL,M-043,"Bielsa, Marcelo",https://www.national-football-teams.com/coach/54589/Marcelo_Bielsa.html,42,National Football Teams coach match logs,2010-06-11,3,3,0,0,0,0,0,1
WC-2010,T-22,Denmark,DNK,M-299,"Olsen, Morten",https://www.national-football-teams.com/coach/19455/Morten_Olsen.html,117,National Football Teams coach match logs,2010-06-11,4,3,1,0,0,0,0,1
WC-2010,T-28,England,ENG,M-071,"Capello, Fabio",https://www.national-football-teams.com/coach/17367/Fabio_Capello.html,24,National Football Teams coach match logs,2010-06-11,0,0,0,0,0,0,0,0
WC-2010,T-30,France,FRA,M-105,"Domenech, Raymond",https://www.national-football-teams.com/coach/18904/Raymond_Domenech.html,75,National Football Teams coach match logs,2010-06-11,7,3,1,1,1,0,1,1
WC-2010,T-31,Germany,DEU,M-234,"Löw, Joachim",https://www.national-football-teams.com/coach/53246/Joachim_Low.html,49,National Football Teams coach match logs,2010-06-11,0,0,0,0,0,0,0,0
WC-2010,T-32,Ghana,GHA,M-342,"Rajevac, Milovan",https://www.national-football-teams.com/coach/54582/Milovan_Rajevac.html,26,National Football Teams coach match logs,2010-06-11,0,0,0,0,0,0,0,0
WC-2010,T-33,Greece,GRC,M-351,"Rehhagel, Otto",https://www.national-football-teams.com/coach/53482/Otto_Rehhagel.html,102,National Football Teams coach match logs,2010-06-11,0,0,0,0,0,0,0,0
WC-2010,T-35,Honduras,HND,M-363,"Rueda, Reinaldo",https://www.national-football-teams.com/coach/53245/Reinaldo_Rueda.html,58,National Football Teams coach match logs,2010-06-11,0,0,0,0,0,0,0,0
WC-2010,T-41,Italy,ITA,M-225,"Lippi, Marcello",https://www.national-football-teams.com/coach/55319/Marcello_Lippi.html,24,National Football Teams coach match logs,2010-06-11,7,3,1,1,1,0,1,1
WC-2010,T-42,Ivory Coast,CIV,M-118,"Eriksson, Sven-Göran",https://www.national-football-teams.com/coach/53510/Sven_Goran_Eriksson.html,2,National Football Teams coach match logs,2010-06-11,10,6,2,2,0,0,0,2
WC-2010,T-44,Japan,JPN,M-293,"Okada, Takeshi",https://www.national-football-teams.com/coach/20862/Takeshi_Okada.html,46,National Football Teams coach match logs,2010-06-11,3,3,0,0,0,0,0,1
WC-2010,T-46,Mexico,MEX,M-006,"Aguirre, Javier",https://www.national-football-teams.com/coach/17322/Javier_Aguirre.html,28,National Football Teams coach match logs,2010-06-11,4,3,1,0,0,0,0,1
WC-2010,T-48,Netherlands,NLD,M-446,"van Marwijk, Bert",https://www.national-football-teams.com/coach/20441/Bert_Van_Marwijk.html,21,National Football Teams coach match logs,2010-06-11,0,0,0,0,0,0,0,0
WC-2010,T-49,New Zealand,NZL,M-162,"Herbert, Ricki",https://www.national-football-teams.com/coach/37223/Ricki_Herbert.html,32,National Football Teams coach match logs,2010-06-11,0,0,0,0,0,0,0,0
WC-2010,T-50,Nigeria,NGA,M-212,"Lagerbäck, Lars",https://www.national-football-teams.com/coach/53279/Lars_Lagerback.html,4,National Football Teams coach match logs,2010-06-11,8,6,2,0,0,0,0,2
WC-2010,T-51,North Korea,PRK,M-199,"Kim, Jong-Hun",https://www.national-football-teams.com/coach/53622/Jong_Hun_Kim.html,41,National Football Teams coach match logs,2010-06-11,0,0,0,0,0,0,0,0
WC-2010,T-55,Paraguay,PRY,M-244,"Martino, Gerardo",https://www.national-football-teams.com/coach/21876/Gerardo_Martino.html,47,National Football Teams coach match logs,2010-06-11,0,0,0,0,0,0,0,0
WC-2010,T-58,Portugal,PRT,M-339,"Queiroz, Carlos",https://www.national-football-teams.com/coach/53096/Carlos_Queiroz.html,22,National Football Teams coach match logs,2010-06-11,0,0,0,0,0,0,0,0
WC-2010,T-66,Serbia,SRB,M-016,"Antić, Radomir",https://www.national-football-teams.com/coach/25958/Radomir_Antic.html,21,National Football Teams coach match logs,2010-06-11,0,0,0,0,0,0,0,0
WC-2010,T-68,Slovakia,SVK,M-465,"Weiss, Vladimír",https://www.national-football-teams.com/coach/18067/Vladimir_Weiss.html,21,National Football Teams coach match logs,2010-06-11,0,0,0,0,0,0,0,0
WC-2010,T-69,Slovenia,SVN,M-194,"Kek, Matjaž",https://www.national-football-teams.com/coach/26317/Matjaz_Kek.html,32,National Football Teams coach match logs,2010-06-11,0,0,0,0,0,0,0,0
WC-2010,T-70,South Africa,ZAF,M-311,"Parreira, Carlos Alberto",https://www.national-football-teams.com/coach/53498/Carlos_Alberto_Parreira.html,34,National Football Teams coach match logs,2010-06-11,21,15,2,2,1,0,1,5
WC-2010,T-71,South Korea,KOR,M-177,"Huh, Jung-Moo",https://www.national-football-teams.com/coach/20884/Jung_Moo_Huh.html,41,National Football Teams coach match logs,2010-06-11,0,0,0,0,0,0,0,0
WC-2010,T-73,Spain,ESP,M-094,"del Bosque, Vicente",https://www.national-football-teams.com/coach/18325/Vicente_Del_Bosque.html,26,National Football Teams coach match logs,2010-06-11,0,0,0,0,0,0,0,0
WC-2010,T-75,Switzerland,CHE,M-170,"Hitzfeld, Ottmar",https://www.national-football-teams.com/coach/53244/Ottmar_Hitzfeld.html,18,National Football Teams coach match logs,2010-06-11,0,0,0,0,0,0,0,0
WC-2010,T-83,United States,USA,M-058,"Bradley, Bob",https://www.national-football-teams.com/coach/53177/Bob_Bradley.html,62,National Football Teams coach match logs,2010-06-11,0,0,0,0,0,0,0,0
WC-2010,T-84,Uruguay,URY,M-419,"Tabárez, Óscar",https://www.national-football-teams.com/coach/52913/Oscar_Tabarez.html,49,National Football Teams coach match logs,2010-06-11,4,3,1,0,0,0,0,1
WC-2014,T-01,Algeria,DZA,M-152,"Halilhodžić, Vahid",https://www.national-football-teams.com/coach/20020/Vahid_Halilhodzic.html,28,National Football Teams coach match logs,2014-06-12,0,0,0,0,0,0,0,0
WC-2014,T-03,Argentina,ARG,M-367,"Sabella, Alejandro",https://www.national-football-teams.com/coach/37852/Alejandro_Sabella.html,33,National Football Teams coach match logs,2014-06-12,0,0,0,0,0,0,0,0
WC-2014,T-04,Australia,AUS,M-331,"Postecoglou, Ange",https://www.national-football-teams.com/coach/21252/Ange_Postecoglou.html,4,National Football Teams coach match logs,2014-06-12,0,0,0,0,0,0,0,0
