match_id,year,group,match_date,time,home_team,away_team,home_goals,away_goals,actual_score,actual_result,h_odds_decimal,d_odds_decimal,a_odds_decimal,home_pct_raw,draw_pct_raw,away_pct_raw,home_pct_no_vig,draw_pct_no_vig,away_pct_no_vig,odds_provider,source_timing,source_url,tournament_first_game_date,requested_snapshot_date,scrape_date,odds_are_exact_requested_snapshot
2010_2010-06-11_SouthAfrica_Mexico,2010,A,2010-06-11,16:00,South Africa,Mexico,1.0,1.0,1-1,draw,3.11,3.2,2.62,32.1543,31.25,38.1679,31.6566,30.7663,37.5771,CheckBestOdds best odds,archive last highest odds; not a one-week historical snapshot,https://checkbestodds.com/football-odds/archive-world-cup-2018/2010,2010-06-11,2010-06-04,2026-06-03,False
2010_2010-06-11_Uruguay_France,2010,A,2010-06-11,20:30,Uruguay,France,0.0,0.0,0-0,draw,3.7,3.2,2.25,27.027,31.25,44.4444,26.311,30.4221,43.2669,CheckBestOdds best odds,archive last highest odds; not a one-week historical snapshot,https://checkbestodds.com/football-odds/archive-world-cup-2018/2010,2010-06-11,2010-06-04,2026-06-03,False
2010_2010-06-12_SouthKorea_Greece,2010,B,2010-06-12,13:30,South Korea,Greece,2.0,0.0,2-0,home_win,2.75,3.15,3.0,36.3636,31.746,33.3333,35.8464,31.2945,32.8592,CheckBestOdds best odds,archive last highest odds; not a one-week historical snapshot,https://checkbestodds.com/football-odds/archive-world-cup-2018/2010,2010-06-11,2010-06-04,2026-06-03,False
2010_2010-06-12_Argentina_Nigeria,2010,B,2010-06-12,16:00,Argentina,Nigeria,1.0,0.0,1-0,home_win,1.45,4.79,10.0,68.9655,20.8768,10.0,69.0744,20.9098,10.0158,CheckBestOdds best odds,archive last highest odds; not a one-week historical snapshot,https://checkbestodds.com/football-odds/archive-world-cup-2018/2010,2010-06-11,2010-06-04,2026-06-03,False
2010_2010-06-12_England_USA,2010,C,2010-06-12,20:30,England,USA,1.0,1.0,1-1,draw,1.56,4.21,7.5,64.1026,23.753,13.3333,63.3494,23.4739,13.1767,CheckBestOdds best odds,archive last highest odds; not a one-week historical snapshot,https://checkbestodds.com/football-odds/archive-world-cup-2018/2010,2010-06-11,2010-06-04,2026-06-03,False
2010_2010-06-13_Algeria_Slovenia,2010,C,2010-06-13,13:30,Algeria,Slovenia,0.0,1.0,0-1,away_win,3.75,3.25,2.25,26.6667,30.7692,44.4444,26.1745,30.2013,43.6242,CheckBestOdds best odds,archive last highest odds; not a one-week historical snapshot,https://checkbestodds.com/football-odds/archive-world-cup-2018/2010,2010-06-11,2010-06-04,2026-06-03,False
2010_2010-06-13_Serbia_Ghana,2010,D,2010-06-13,16:00,Serbia,Ghana,0.0,1.0,0-1,away_win,2.1,3.36,4.3,47.619,29.7619,23.2558,47.3177,29.5736,23.1087,CheckBestOdds best odds,archive last highest odds; not a one-week historical snapshot,https://checkbestodds.com/football-odds/archive-world-cup-2018/2010,2010-06-11,2010-06-04,2026-06-03,False
2010_2010-06-13_Germany_Australia,2010,D,2010-06-13,20:30,Germany,Australia,4.0,0.0,4-0,home_win,1.6,4.0,8.13,62.5,25.0,12.3001,62.6252,25.0501,12.3248,CheckBestOdds best odds,archive last highest odds; not a one-week historical snapshot,https://checkbestodds.com/football-odds/archive-world-cup-2018/2010,2010-06-11,2010-06-04,2026-06-03,False
2010_2010-06-14_Netherlands_Denmark,2010,E,2010-06-14,13:30,Netherlands,Denmark,2.0,0.0,2-0,home_win,1.56,4.2,7.5,64.1026,23.8095,13.3333,63.314,23.5166,13.1693,CheckBestOdds best odds,archive last highest odds; not a one-week historical snapshot,https://checkbestodds.com/football-odds/archive-world-cup-2018/2010,2010-06-11,2010-06-04,2026-06-03,False
2010_2010-06-14_Japan_Cameroon,2010,E,2010-06-14,16:00,Japan,Cameroon,1.0,0.0,1-0,home_win,3.8,3.25,2.2,26.3158,30.7692,45.4545,25.664,30.0072,44.3288,CheckBestOdds best odds,archive last highest odds; not a one-week historical snapshot,https://checkbestodds.com/football-odds/archive-world-cup-2018/2010,2010-06-11,2010-06-04,2026-06-03,False
2010_2010-06-14_Italy_Paraguay,2010,F,2010-06-14,20:30,Italy,Paraguay,1.0,1.0,1-1,draw,2.27,3.25,4.0,44.0529,30.7692,25.0,44.1314,30.8241,25.0446,CheckBestOdds best odds,archive last highest odds; not a one-week historical snapshot,https://checkbestodds.com/football-odds/archive-world-cup-2018/2010,2010-06-11,2010-06-04,2026-06-03,False
2010_2010-06-15_NewZealand_Slovakia,2010,F,2010-06-15,13:30,New Zealand,Slovakia,1.0,1.0,1-1,draw,,,,,,,,,,Not available in public scrape,"fixture present, but no public 1X2 odds found in CheckBestOdds or BetExplorer fetches",https://www.betexplorer.com/football/world/world-cup-2010/results/,2010-06-11,2010-06-04,2026-06-03,False
2010_2010-06-15_IvoryCoast_Portugal,2010,G,2010-06-15,16:00,Ivory Coast,Portugal,0.0,0.0,0-0,draw,4.19,3.3,2.26,23.8663,30.303,44.2478,24.2502,30.7904,44.9594,CheckBestOdds best odds,archive last highest odds; not a one-week historical snapshot,https://checkbestodds.com/football-odds/archive-world-cup-2018/2010,2010-06-11,2010-06-04,2026-06-03,False
2010_2010-06-15_Brazil_NorthKorea,2010,G,2010-06-15,20:30,Brazil,North Korea,2.0,1.0,2-1,home_win,1.1,11.0,30.0,90.9091,9.0909,3.3333,87.9765,8.7977,3.2258,CheckBestOdds best odds,archive last highest odds; not a one-week historical snapshot,https://checkbestodds.com/football-odds/archive-world-cup-2018/2010,2010-06-11,2010-06-04,2026-06-03,False
